country,satisfaction,sex,age,immigrant,children,income_level,education,god_importance,praying_frequency,ethics_score,voter_2
USA,6,Female,30,Not immigrant,0,4,7,1,4,8.82,1
USA,10,Female,76,Not immigrant,2,8,3,10,1,8.33,1
USA,7,Female,29,Not immigrant,1,7,6,10,2,8.2,1
USA,2,Female,32,Not immigrant,0,4,3,5,4,7.28,1
IND,7,Female,16,Not immigrant,0,2,3,10,1,6.59,0
USA,5,Male,57,Not immigrant,0,6,3,10,1,7.34,1
USA,9,Female,24,Not immigrant,1,5,3,10,1,7.09,1
USA,7,Female,30,Not immigrant,0,6,7,7,2,8.02,1
USA,7,Female,68,Not immigrant,2,7,3,10,1,6.53,0
IND,4,Female,56,Not immigrant,2,2,1,9,1,6.72,1
USA,7,Female,30,Not immigrant,12,4,4,5,1,4.92,0
IND,5,Male,32,Not immigrant,2,4,3,8,1,7.21,1
USA,8,Male,51,Not immigrant,7,7,3,10,4,6.72,1
USA,9,Female,60,Not immigrant,2,1,5,10,1,5.91,0
USA,7,Male,27,Not immigrant,0,5,4,10,2,7.59,0
USA,,Male,18,Not immigrant,0,,,,,,0
IND,10,Female,16,Not immigrant,0,5,3,10,1,7.21,0
USA,5,Female,20,Not immigrant,0,,,,2,8.14,0
USA,10,Female,28,Not immigrant,1,5,2,5,2,6.47,0
IND,6,Female,16,Not immigrant,0,,3,10,3,7.56,0
USA,2,Female,28,Not immigrant,3,3,3,10,4,7.52,1
IND,6,Male,22,Not immigrant,0,9,7,9,1,6.47,1
IND,7,Female,19,Not immigrant,0,6,2,7,3,6.41,0
USA,9,Male,64,Not immigrant,3,7,6,10,1,6.9,1
IND,4,Female,22,Not immigrant,4,10,3,9,1,4.74,1
IND,7,Male,30,Not immigrant,4,3,3,7,3,5.85,1
IND,10,Male,46,Not immigrant,3,10,3,9,3,6.72,1
USA,9,Female,38,Not immigrant,3,7,4,10,2,9.01,0
USA,8,Female,68,Immigrant,2,1,2,10,1,7.06,0
USA,8,Female,30,Not immigrant,3,5,2,5,1,4.98,0
IND,8,Female,32,Not immigrant,0,7,6,10,1,6.47,0
IND,7,Male,48,Not immigrant,2,6,2,7,2,6.28,1
USA,10,Male,77,Not immigrant,2,7,7,2,4,7.97,1
IND,7,Female,17,Not immigrant,0,5,3,7,3,7.02,0
IND,8,Male,22,Not immigrant,0,8,4,8,3,5.79,0
IND,5,Male,42,Not immigrant,3,7,3,5,4,6.89,1
USA,10,Female,60,Not immigrant,2,7,3,9,1,8.04,1
USA,8,Female,51,Not immigrant,2,4,5,9,2,8.08,1
USA,5,Male,33,Not immigrant,0,,3,8,3,5.91,0
IND,10,Male,62,Not immigrant,2,6,2,7,1,7.34,1
IND,6,Female,16,Not immigrant,0,5,3,8,1,6.89,0
IND,7,Female,73,Not immigrant,5,8,1,10,1,6.89,1
IND,5,Male,16,Not immigrant,0,8,3,10,1,6.34,0
USA,10,Male,22,Not immigrant,0,3,3,10,1,4.49,0
IND,8,Male,17,Not immigrant,0,2,3,10,1,6.41,0
IND,6,Male,19,Not immigrant,0,9,3,9,1,7.21,0
USA,4,Male,22,Not immigrant,0,3,3,3,3,7.4,0
USA,7,Male,33,Not immigrant,0,5,5,5,1,4.98,1
IND,8,Female,17,Not immigrant,0,8,3,7,3,8.16,0
USA,6,Female,27,Not immigrant,1,5,3,1,4,7.89,0
USA,5,Female,19,Not immigrant,0,8,3,7,2,7.77,1
USA,8,Female,31,Not immigrant,0,6,6,3,4,6.35,0
IND,7,Female,16,Not immigrant,0,2,3,10,1,6.59,0
USA,5,Male,27,Not immigrant,2,4,6,2,4,5.69,1
IND,9,Male,60,Not immigrant,4,9,3,8,1,6.9,1
IND,6,Female,40,Not immigrant,8,10,2,10,1,3.93,1
USA,8,Female,81,Not immigrant,3,2,3,10,1,7.09,1
IND,2,Male,49,Not immigrant,3,1,0,10,1,6.89,1
IND,10,Female,41,Not immigrant,2,5,3,10,1,6.72,1
USA,7,Male,42,Immigrant,2,5,4,1,4,8.27,0
IND,10,Female,17,Not immigrant,0,7,3,6,4,7.09,0
IND,4,Female,28,Not immigrant,2,2,0,7,4,7.23,1
USA,8,Male,60,Immigrant,1,5,,8,1,6.86,1
IND,10,Male,45,Not immigrant,2,6,7,6,1,7.03,1
USA,8,Female,50,Not immigrant,2,5,4,10,1,6.9,1
USA,8,Female,21,Not immigrant,0,5,4,10,2,8.7,1
USA,10,Female,78,Not immigrant,5,8,3,10,1,7.25,1
USA,5,Male,31,Not immigrant,0,5,3,5,3,5.73,0
IND,10,Male,25,Not immigrant,0,5,2,2,4,7.21,1
USA,9,Male,69,Not immigrant,3,6,6,5,4,8.02,1
IND,5,Male,50,Not immigrant,2,6,3,6,3,7.09,1
IND,9,Female,16,Not immigrant,0,7,2,9,1,7.03,0
USA,6,Male,66,Immigrant,0,4,7,1,4,7.77,1
USA,6,Male,36,Not immigrant,0,6,6,4,4,4.98,1
IND,10,Female,23,Not immigrant,2,5,3,10,3,5.85,0
IND,8,Male,18,Not immigrant,0,8,3,7,3,6.35,0
USA,10,Female,31,Not immigrant,0,5,6,10,1,7.52,1
IND,10,Female,39,Not immigrant,1,5,3,9,1,6.47,1
USA,8,Female,38,Not immigrant,4,4,5,10,2,8.76,1
IND,5,Male,16,Not immigrant,0,3,2,10,4,8.15,0
USA,8,Male,47,Immigrant,2,4,4,10,1,6.53,1
IND,4,Female,26,Not immigrant,0,6,8,6,4,5.98,1
IND,7,Male,18,Not immigrant,0,5,3,10,3,7.78,0
IND,10,Female,40,Not immigrant,4,4,1,10,4,7.21,1
IND,3,Male,18,Not immigrant,0,1,3,9,1,4.8,0
USA,2,Female,30,Not immigrant,4,1,0,4,1,4.67,1
USA,9,Female,51,Not immigrant,3,3,3,10,1,8.2,0
USA,8,Male,41,Not immigrant,3,7,6,5,3,7.83,1
USA,4,Female,22,Not immigrant,0,4,3,1,4,7.96,0
IND,8,Male,42,Not immigrant,1,5,3,5,1,4.49,0
IND,9,Male,17,Not immigrant,0,6,3,9,2,7.52,0
IND,5,Male,16,Not immigrant,0,5,3,10,3,7.21,0
USA,3,Female,24,Not immigrant,0,1,3,10,1,7.59,1
IND,7,Female,58,Not immigrant,3,7,1,3,1,6.84,1
USA,2,Female,24,Immigrant,0,3,4,1,4,8.7,0
IND,5,Male,16,Not immigrant,0,3,2,10,4,8.15,0
USA,9,Female,56,Immigrant,2,3,5,10,1,8.27,0
IND,10,Male,16,Not immigrant,0,,1,5,1,7.21,1
IND,6,Female,39,Not immigrant,0,5,2,4,2,4.61,1
USA,5,Male,68,Not immigrant,3,1,4,5,4,6.97,0
USA,7,Female,33,Not immigrant,0,6,8,2,4,8.02,1
IND,7,Male,17,Not immigrant,0,3,2,9,2,7.72,0
USA,7,Male,27,Immigrant,1,3,6,7,2,2.57,0
IND,8,Male,17,Not immigrant,0,5,3,10,1,6.96,0
USA,10,Female,38,Not immigrant,1,4,6,10,1,7.65,1
USA,6,Female,34,Not immigrant,3,4,7,1,4,8.27,1
USA,7,Male,52,Immigrant,2,5,6,5,4,7.4,1
USA,9,Female,60,Not immigrant,2,1,5,10,1,5.91,0
IND,3,Male,33,Not immigrant,0,1,3,5,1,6.22,1
USA,5,Female,20,Not immigrant,0,,,,2,8.14,0
USA,6,Male,39,Not immigrant,2,2,3,10,1,7.77,1
USA,7,Male,36,Not immigrant,0,2,4,1,4,6.97,0
USA,10,Female,48,Not immigrant,2,1,3,10,1,9.12,0
USA,5,Male,31,Not immigrant,0,5,3,5,3,5.73,0
IND,10,Female,56,Not immigrant,2,10,3,10,1,7.34,1
IND,1,Female,17,Not immigrant,0,1,2,8,2,6.11,0
IND,8,Female,42,Not immigrant,3,7,3,9,2,7.09,1
USA,9,Female,27,Immigrant,0,5,4,10,1,8.02,0
USA,9,Female,19,Not immigrant,0,7,4,10,2,7.59,1
IND,1,Female,40,Not immigrant,3,1,3,2,4,7.21,0
USA,5,Male,30,Immigrant,2,5,3,6,1,3.93,0
IND,6,Male,54,Not immigrant,3,7,0,7,1,4.24,0
USA,7,Male,32,Not immigrant,0,3,7,10,1,8.2,1
IND,10,Male,16,Not immigrant,0,1,3,10,3,6.01,0
IND,1,Female,42,Not immigrant,4,1,0,10,1,7.25,1
USA,8,Female,30,Not immigrant,2,5,4,10,1,7.77,1
USA,10,Female,31,Not immigrant,3,9,3,10,1,4.98,1
IND,9,Male,16,Not immigrant,0,2,3,8,3,6.35,0
USA,10,Male,27,Not immigrant,0,,3,1,4,7.21,0
USA,6,Female,48,Immigrant,3,2,4,10,1,9.32,0
USA,10,Female,53,Immigrant,2,6,5,6,4,8.33,1
USA,2,Female,49,Not immigrant,2,6,3,8,3,8.02,0
IND,10,Female,16,Not immigrant,0,7,3,7,3,6.47,0
USA,9,Female,38,Not immigrant,3,7,4,10,2,9.01,0
USA,5,Female,36,Not immigrant,0,7,6,10,2,8.14,1
IND,7,Male,41,Not immigrant,2,2,2,10,3,6.53,1
IND,7,Male,56,Not immigrant,2,7,2,7,1,7.4,1
IND,1,Male,33,Not immigrant,2,2,3,2,2,6.84,1
IND,7,Male,40,Not immigrant,2,7,6,1,3,6.1,1
IND,7,Male,38,Not immigrant,0,7,6,10,1,6.89,1
IND,5,Male,57,Not immigrant,5,5,1,10,1,6.86,1
IND,8,Female,48,Not immigrant,2,8,0,8,1,6.66,1
USA,8,Male,39,Not immigrant,2,10,7,3,4,7.46,1
IND,2,Male,33,Not immigrant,2,2,3,3,2,6.78,0
USA,10,Female,29,Not immigrant,0,1,4,1,4,6.22,0
USA,7,Female,41,Not immigrant,0,5,4,5,1,6.78,0
USA,5,Female,47,Immigrant,0,3,4,10,1,6.97,0
IND,7,Male,30,Not immigrant,2,7,6,5,3,6.8,1
USA,5,Male,33,Not immigrant,0,5,7,5,4,7.65,0
IND,1,Female,40,Not immigrant,3,1,3,2,4,7.21,0
USA,8,Male,35,Not immigrant,3,7,6,8,2,7.96,1
IND,10,Male,30,Not immigrant,1,1,3,10,4,7.21,1
USA,2,Female,41,Not immigrant,6,1,4,10,1,7.77,0
IND,10,Male,68,Not immigrant,1,9,3,10,1,7.91,0
USA,7,Male,27,Immigrant,0,3,8,2,4,7.09,0
IND,7,Female,22,Not immigrant,0,7,3,10,3,6.9,0
IND,10,Male,17,Not immigrant,0,5,3,9,3,5.75,0
USA,6,Female,38,Not immigrant,2,4,6,10,1,7.34,1
IND,5,Male,50,Not immigrant,2,7,6,8,1,7.52,1
USA,9,Female,43,Immigrant,3,4,7,10,1,6.59,0
USA,10,Female,70,Not immigrant,4,1,2,10,1,6.04,1
USA,9,Male,32,Not immigrant,1,5,5,1,4,7.89,0
USA,8,Male,71,Not immigrant,0,4,4,10,1,7.71,1
USA,7,Female,38,Not immigrant,2,6,7,5,3,8.58,1
USA,7,Female,22,Immigrant,0,6,3,6,4,4.98,0
USA,5,Male,48,Not immigrant,1,4,4,10,1,7.77,1
IND,5,Male,16,Not immigrant,0,1,3,10,3,7.21,0
USA,3,Female,45,Not immigrant,2,3,5,1,2,8.56,1
IND,4,Male,49,Not immigrant,4,6,3,4,1,6.1,0
IND,5,Male,16,Not immigrant,0,,3,10,1,10.0,0
IND,8,Male,30,Not immigrant,0,8,6,6,3,3.25,0
IND,8,Male,16,Not immigrant,0,7,3,1,4,6.59,0
IND,7,Female,42,Not immigrant,2,6,3,7,1,6.35,1
USA,7,Female,26,Not immigrant,0,3,4,3,4,8.2,0
IND,7,Female,16,Not immigrant,0,2,3,10,1,6.59,0
IND,10,Female,17,Not immigrant,0,6,3,10,1,7.28,0
IND,2,Male,21,Not immigrant,0,2,3,2,1,6.59,0
IND,8,Female,17,Not immigrant,0,7,3,7,1,7.21,0
USA,5,Male,30,Not immigrant,4,5,5,5,1,7.71,0
USA,7,Female,29,Not immigrant,1,5,3,10,1,6.78,1
IND,5,Female,19,Not immigrant,0,5,4,10,1,6.47,0
USA,7,Male,63,Immigrant,6,5,5,10,1,7.46,1
IND,8,Male,17,Not immigrant,0,4,3,8,3,4.18,0
USA,8,Male,68,Not immigrant,2,7,7,2,3,8.14,1
USA,10,Female,26,Immigrant,0,5,6,10,1,6.35,0
IND,7,Male,26,Not immigrant,2,8,6,7,3,5.54,1
IND,6,Male,17,Not immigrant,0,6,3,8,1,8.59,0
IND,10,Female,17,Not immigrant,0,6,3,7,1,6.66,0
USA,7,Male,56,Not immigrant,2,6,3,10,1,8.58,0
USA,8,Female,27,Not immigrant,0,7,7,1,4,7.34,1
USA,7,Female,24,Not immigrant,0,2,3,1,4,8.02,0
USA,9,Female,51,Not immigrant,3,3,3,10,1,8.2,0
USA,8,Male,53,Not immigrant,2,8,7,1,4,8.64,1
IND,9,Female,35,Not immigrant,3,5,3,10,2,7.45,1
IND,3,Male,53,Not immigrant,4,4,1,4,2,7.21,1
IND,10,Male,16,Not immigrant,0,4,3,1,,6.66,0
IND,10,Male,16,Not immigrant,0,10,3,5,3,7.28,0
IND,6,Male,62,Not immigrant,3,4,3,10,1,6.54,1
USA,7,Male,50,Not immigrant,1,6,4,1,4,7.46,1
IND,7,Male,35,Not immigrant,3,5,3,10,1,6.84,1
IND,3,Female,51,Not immigrant,1,3,0,10,2,7.03,1
USA,7,Male,72,Not immigrant,2,1,5,10,1,7.03,1
USA,8,Female,39,Immigrant,4,5,3,10,1,5.73,1
USA,8,Female,43,Not immigrant,2,4,3,9,2,7.09,1
USA,3,Female,32,Not immigrant,4,3,4,7,2,6.35,0
USA,8,Female,33,Not immigrant,1,4,3,8,2,8.27,1
IND,10,Male,62,Not immigrant,1,2,3,10,2,7.46,1
USA,8,Female,23,Not immigrant,2,5,4,5,1,4.98,0
IND,6,Male,17,Not immigrant,0,6,3,8,1,8.59,0
USA,7,Female,30,Not immigrant,0,5,5,5,3,4.86,0
IND,3,Male,28,Not immigrant,0,4,8,3,3,6.53,1
IND,7,Male,54,Not immigrant,4,4,0,8,2,5.91,1
USA,3,Female,27,Not immigrant,2,5,4,8,3,6.22,0
USA,7,Female,19,Not immigrant,0,3,2,2,4,7.09,0
USA,7,Male,52,Not immigrant,0,2,6,10,1,5.98,1
IND,8,Male,16,Not immigrant,0,7,3,1,4,6.59,0
USA,7,Female,59,Not immigrant,2,3,4,8,2,8.33,1
IND,8,Female,70,Not immigrant,1,8,3,10,2,5.79,1
USA,9,Female,24,Immigrant,0,5,8,1,4,8.2,0
USA,8,Male,64,Not immigrant,2,6,6,10,1,7.15,1
IND,9,Female,35,Not immigrant,2,5,0,1,1,6.47,0
USA,8,Male,85,Not immigrant,2,6,3,3,4,7.65,1
USA,8,Female,31,Not immigrant,0,6,6,3,4,6.35,0
IND,7,Female,24,Not immigrant,0,6,7,8,2,5.71,1
USA,10,Male,27,Not immigrant,0,1,3,1,4,7.21,0
IND,9,Female,28,Not immigrant,3,9,6,10,1,7.3,1
USA,8,Female,24,Not immigrant,0,3,7,10,1,7.46,1
IND,8,Female,16,Not immigrant,0,,3,10,1,7.21,0
USA,7,Female,60,Not immigrant,4,6,3,10,1,8.17,0
USA,9,Male,31,Not immigrant,3,8,8,10,1,7.09,1
IND,5,Male,16,Not immigrant,0,5,3,10,3,7.21,0
USA,6,Female,62,Not immigrant,3,3,3,5,4,6.66,0
IND,7,Male,17,Not immigrant,0,3,2,9,2,7.72,0
USA,5,Male,70,Not immigrant,0,3,4,1,4,7.59,1
IND,8,Male,17,Not immigrant,0,3,3,8,1,7.09,1
IND,7,Male,36,Not immigrant,10,8,3,7,1,4.53,1
IND,5,Male,36,Not immigrant,2,7,7,10,2,6.72,1
USA,6,Male,39,Not immigrant,0,2,3,10,4,7.21,0
IND,6,Male,59,Not immigrant,2,1,2,10,1,6.41,1
IND,1,Male,28,Not immigrant,1,7,7,1,3,4.43,0
IND,3,Female,16,Not immigrant,0,3,3,3,4,7.21,1
IND,10,Female,54,Not immigrant,4,4,0,10,1,7.4,1
USA,8,Female,27,Not immigrant,2,5,4,10,2,7.46,1
USA,7,Female,46,Not immigrant,1,6,3,2,4,7.59,0
IND,10,Male,16,Not immigrant,0,5,3,10,1,7.21,0
IND,9,Female,49,Not immigrant,2,9,7,2,3,8.33,1
IND,5,Female,16,Not immigrant,0,6,4,6,4,8.08,0
IND,8,Female,33,Not immigrant,4,7,1,7,1,4.24,1
IND,4,Female,50,Not immigrant,3,8,3,,1,6.9,1
IND,7,Female,16,Not immigrant,0,7,3,8,2,5.97,0
IND,8,Female,19,Not immigrant,0,8,3,8,2,7.4,1
USA,8,Female,30,Not immigrant,3,5,2,5,1,4.98,0
USA,3,Female,29,Not immigrant,2,4,5,1,4,5.85,0
USA,7,Female,50,Not immigrant,0,5,3,5,4,7.06,0
IND,3,Male,66,Not immigrant,5,6,1,3,1,5.54,0
IND,5,Male,16,Not immigrant,0,3,3,5,1,7.19,0
USA,5,Female,79,Not immigrant,2,5,3,10,1,7.21,1
USA,9,Male,64,Not immigrant,0,1,5,10,1,7.21,0
USA,5,Female,18,Not immigrant,1,5,3,5,4,6.41,0
IND,4,Male,47,Not immigrant,2,4,1,8,1,4.74,1
USA,8,Male,33,Not immigrant,0,5,5,10,2,8.45,1
IND,1,Male,20,Not immigrant,0,3,6,3,2,7.21,0
IND,7,Male,71,Not immigrant,3,4,2,,4,6.84,1
IND,8,Female,16,Not immigrant,0,6,3,9,3,6.72,0
IND,7,Female,17,Not immigrant,0,4,4,10,1,7.25,0
USA,6,Male,29,Immigrant,2,3,7,1,4,6.59,0
USA,10,Female,18,Not immigrant,0,4,4,7,2,7.83,0
IND,10,Male,17,Not immigrant,0,4,3,10,2,7.46,0
USA,10,Female,36,Not immigrant,2,9,3,10,2,6.97,1
IND,6,Male,30,Not immigrant,3,3,3,10,1,7.21,0
IND,8,Female,17,Not immigrant,0,5,3,10,2,6.84,0
IND,1,Male,43,Not immigrant,2,8,7,7,3,7.89,1
USA,8,Female,35,Immigrant,0,1,2,10,1,7.34,0
IND,8,Male,17,Not immigrant,0,5,3,10,1,6.96,0
USA,7,Male,64,Not immigrant,2,4,3,8,1,7.09,1
IND,8,Male,39,Not immigrant,4,4,3,10,1,7.09,1
IND,7,Male,58,Not immigrant,3,4,3,9,1,7.19,1
USA,10,Female,74,Not immigrant,0,1,3,10,1,6.59,1
IND,7,Male,20,Not immigrant,0,7,7,6,1,6.47,1
USA,1,Male,45,Not immigrant,2,5,5,10,1,7.21,0
USA,1,Male,39,Not immigrant,8,2,3,8,2,6.04,1
USA,5,Male,32,Immigrant,5,1,4,10,1,6.59,0
IND,10,Male,30,Not immigrant,0,6,7,6,3,7.77,1
IND,4,Female,17,Not immigrant,0,2,2,9,1,7.97,0
IND,4,Male,23,Not immigrant,0,7,7,10,1,7.65,1
USA,10,Female,40,Immigrant,3,7,6,5,3,6.28,1
IND,8,Female,25,Not immigrant,0,4,7,8,1,6.1,0
IND,9,Male,17,Not immigrant,0,7,3,8,3,7.15,0
IND,6,Male,25,Not immigrant,0,4,3,10,2,6.1,1
USA,5,Male,33,Not immigrant,0,,3,8,3,5.91,0
USA,2,Female,24,Immigrant,0,3,4,1,4,8.7,0
USA,6,Female,35,Not immigrant,3,5,4,10,2,7.46,0
USA,5,Male,21,Not immigrant,0,8,4,5,3,7.71,1
IND,6,Female,16,Not immigrant,0,6,3,10,1,7.09,0
IND,10,Male,17,Not immigrant,0,8,3,10,1,7.21,0
IND,5,Male,16,Not immigrant,0,3,3,10,2,6.41,0
USA,6,Male,27,Immigrant,0,5,5,10,4,4.92,0
IND,7,Female,36,Not immigrant,2,5,3,6,4,6.35,0
IND,5,Female,45,Not immigrant,2,1,2,8,3,7.09,1
IND,7,Female,48,Not immigrant,3,5,0,10,1,6.97,1
USA,10,Male,80,Not immigrant,3,6,4,5,1,6.28,1
IND,6,Male,16,Not immigrant,0,6,3,7,3,6.28,0
IND,9,Male,19,Not immigrant,0,7,3,10,1,7.39,0
IND,6,Male,54,Not immigrant,3,7,0,7,1,4.24,0
USA,7,Female,25,Not immigrant,2,5,3,5,1,4.98,0
USA,7,Female,52,Not immigrant,4,3,3,10,2,7.83,0
IND,9,Male,19,Not immigrant,0,7,4,8,1,5.79,0
USA,8,Male,70,Not immigrant,2,3,7,10,1,6.93,1
USA,9,Female,43,Immigrant,3,4,7,10,1,6.59,0
USA,5,Female,25,Not immigrant,1,5,6,10,1,6.1,1
USA,9,Male,52,Not immigrant,0,7,5,3,2,7.15,1
USA,2,Female,37,Immigrant,1,1,4,5,4,7.71,1
USA,8,Male,58,Not immigrant,2,7,4,2,4,8.7,1
USA,8,Male,60,Not immigrant,3,8,8,10,1,7.09,1
IND,5,Male,17,Not immigrant,0,3,3,10,2,9.19,0
IND,6,Male,30,Not immigrant,3,3,3,10,1,7.21,0
IND,3,Male,32,Not immigrant,1,2,6,3,1,6.59,1
IND,10,Male,17,Not immigrant,0,4,3,10,1,7.21,0
USA,8,Female,30,Not immigrant,0,6,7,9,2,7.59,1
IND,8,Female,70,Not immigrant,2,7,0,10,1,7.21,1
IND,10,Male,37,Not immigrant,2,3,3,3,3,6.1,1
IND,5,Male,17,Not immigrant,0,9,3,6,1,4.61,1
IND,10,Male,68,Not immigrant,1,9,3,10,1,7.91,0
USA,8,Female,28,Not immigrant,2,5,5,10,2,7.21,1
USA,2,Female,32,Not immigrant,3,9,2,8,3,5.11,0
USA,8,Male,26,Not immigrant,1,2,5,5,4,7.34,1
IND,8,Male,17,Not immigrant,0,8,3,5,3,3.62,0
IND,7,Female,17,Not immigrant,0,4,4,10,1,7.25,0
USA,9,Female,74,Not immigrant,2,7,7,10,1,7.65,1
IND,10,Male,41,Not immigrant,2,6,2,9,1,5.11,1
USA,9,Female,67,Not immigrant,2,5,7,10,2,7.77,1
