country,satisfaction,sex,age,immigrant,children,income_level,education,god_importance,praying_frequency,ethics_score,voter_2
USA,8,Male,23,Not immigrant,0,4,6,3,3,7.34,1
IND,8,Male,49,Not immigrant,1,7,3,5,1,4.8,1
IND,4,Male,17,Not immigrant,0,3,7,1,4,7.59,0
IND,9,Female,17,Not immigrant,0,4,3,10,3,6.66,0
USA,5,Female,23,Not immigrant,2,5,3,3,1,6.53,0
USA,7,Female,29,Not immigrant,0,2,4,10,1,6.78,1
USA,10,Male,47,Not immigrant,0,5,3,10,1,6.9,0
USA,10,Male,40,Not immigrant,3,2,2,9,1,6.84,1
IND,8,Male,17,Not immigrant,0,3,3,3,1,5.23,1
IND,10,Female,34,Not immigrant,1,10,6,9,1,6.35,1
IND,6,Male,25,Not immigrant,2,3,3,10,1,8.43,1
IND,6,Male,16,Not immigrant,0,4,3,9,2,7.94,0
USA,8,Female,23,Not immigrant,2,5,4,5,1,4.98,0
IND,7,Female,29,Not immigrant,1,5,3,10,1,6.75,1
USA,6,Female,66,Immigrant,1,5,6,9,2,8.14,1
USA,9,Male,20,Not immigrant,0,4,5,10,1,6.9,0
USA,8,Female,43,Immigrant,2,7,6,3,4,7.89,0
IND,5,Male,78,Not immigrant,3,7,2,10,1,6.66,1
USA,9,Female,27,Immigrant,3,5,4,3,4,7.15,0
IND,8,Female,48,Not immigrant,2,10,3,10,1,6.22,1
IND,7,Female,21,Not immigrant,0,2,3,7,3,6.97,0
USA,7,Female,31,Not immigrant,1,3,3,10,1,6.9,1
IND,5,Female,19,Not immigrant,0,3,6,10,1,6.9,0
IND,4,Male,17,Not immigrant,0,4,3,8,3,6.97,0
USA,9,Female,61,Immigrant,1,7,5,10,1,7.15,1
USA,8,Male,20,Immigrant,0,5,5,10,2,6.9,1
USA,8,Female,29,Not immigrant,0,4,7,10,2,7.89,1
USA,8,Female,26,Not immigrant,0,6,6,2,4,8.33,1
USA,8,Female,23,Not immigrant,0,7,3,10,1,6.72,0
IND,7,Female,17,Not immigrant,0,4,4,10,1,7.25,0
USA,10,Female,45,Immigrant,0,5,3,7,,7.97,1
IND,5,Female,17,Not immigrant,0,4,3,8,1,6.84,0
IND,5,Male,20,Not immigrant,1,3,3,10,3,6.54,0
IND,7,Female,16,Not immigrant,0,3,3,9,2,7.21,1
USA,6,Male,32,Not immigrant,0,3,4,2,4,7.28,0
USA,4,Male,34,Not immigrant,0,5,6,7,2,6.97,1
USA,9,Female,56,Immigrant,2,3,5,10,1,8.27,0
USA,7,Male,35,Not immigrant,1,7,6,1,4,7.71,1
USA,9,Male,35,Not immigrant,3,7,5,7,2,9.13,0
IND,8,Female,16,Not immigrant,0,7,3,8,2,7.16,0
IND,9,Male,40,Not immigrant,2,6,3,10,3,6.16,1
IND,10,Male,33,Not immigrant,0,10,3,10,4,7.32,1
USA,6,Female,45,Not immigrant,2,4,6,1,4,8.27,1
USA,4,Female,21,Immigrant,3,2,4,4,3,5.05,0
USA,8,Male,43,Not immigrant,1,10,6,1,4,8.27,1
USA,9,Female,34,Not immigrant,0,6,3,10,1,7.15,1
IND,8,Female,16,Not immigrant,0,7,3,7,1,7.4,0
IND,10,Male,16,Not immigrant,0,10,3,5,3,7.28,0
IND,6,Male,19,Not immigrant,0,9,3,9,1,7.21,0
IND,6,Male,37,Not immigrant,5,6,3,8,2,7.39,1
IND,4,Male,45,Not immigrant,3,5,1,8,1,6.08,1
USA,4,Female,64,Not immigrant,0,4,3,10,1,8.45,0
USA,7,Male,58,Not immigrant,2,7,6,9,1,7.28,1
IND,9,Male,17,Not immigrant,0,10,3,9,1,6.35,1
USA,3,Male,19,Not immigrant,0,5,4,1,4,6.28,0
IND,6,Female,20,Not immigrant,0,6,6,10,1,7.83,1
USA,5,Female,40,Not immigrant,0,5,5,8,1,8.82,1
IND,7,Male,18,Not immigrant,0,5,3,10,3,6.47,0
IND,5,Female,22,Not immigrant,0,2,6,3,2,5.54,0
IND,8,Male,16,Not immigrant,0,3,2,10,1,7.83,0
IND,6,Male,24,Not immigrant,0,8,6,10,1,6.66,1
IND,8,Female,24,Not immigrant,0,8,4,10,1,5.67,1
IND,10,Male,28,Not immigrant,0,5,2,10,3,6.72,1
IND,5,Female,20,Not immigrant,0,3,6,4,3,7.34,0
IND,8,Female,50,Not immigrant,2,7,3,7,1,6.97,1
IND,4,Male,22,Not immigrant,0,9,6,10,1,6.72,0
USA,8,Female,50,Immigrant,2,1,3,10,1,6.9,0
USA,9,Female,30,Not immigrant,2,7,7,7,2,7.65,0
USA,8,Female,31,Not immigrant,5,2,3,7,4,5.73,0
USA,5,Male,62,Not immigrant,2,1,3,10,1,6.22,0
USA,6,Female,24,Not immigrant,2,6,3,5,2,6.28,0
IND,8,Male,16,Not immigrant,0,7,6,10,1,7.21,1
USA,8,Male,68,Not immigrant,0,3,7,8,1,7.52,1
IND,5,Male,20,Not immigrant,1,3,3,10,3,6.54,0
USA,8,Female,50,Immigrant,2,1,3,10,1,6.9,0
USA,7,Female,78,Not immigrant,3,3,3,10,1,7.15,0
USA,8,Male,63,Not immigrant,3,5,6,8,4,7.59,1
USA,10,Male,22,Not immigrant,0,3,3,10,1,4.49,0
IND,8,Male,24,Not immigrant,0,7,6,6,2,4.12,1
USA,8,Female,56,Not immigrant,1,5,4,10,1,7.46,1
USA,7,Male,42,Immigrant,2,5,4,1,4,8.27,0
USA,3,Female,32,Not immigrant,4,3,4,7,2,6.35,0
USA,8,Male,49,Not immigrant,3,7,3,3,4,7.46,0
USA,9,Male,20,Not immigrant,0,4,5,10,1,6.9,0
USA,8,Male,33,Not immigrant,2,7,7,10,1,7.34,1
USA,4,Female,64,Not immigrant,0,4,3,10,1,8.45,0
USA,7,Male,56,Not immigrant,2,6,3,10,1,8.58,0
IND,10,Male,17,Not immigrant,0,1,3,10,4,7.21,0
USA,8,Male,43,Not immigrant,3,7,6,10,1,6.28,0
USA,8,Female,39,Not immigrant,2,3,6,10,1,7.83,1
IND,10,Male,17,Not immigrant,0,4,2,10,1,7.52,0
USA,9,Female,56,Immigrant,2,3,5,10,1,8.27,0
IND,10,Female,16,Not immigrant,0,9,4,6,4,7.21,0
IND,4,Male,65,Not immigrant,4,10,3,10,2,3.13,0
IND,6,Male,24,Not immigrant,0,8,3,6,2,6.64,1
USA,7,Male,47,Immigrant,0,3,3,8,4,5.98,1
IND,9,Female,22,Not immigrant,1,6,3,10,1,6.9,1
USA,8,Male,35,Immigrant,0,5,6,,4,5.88,0
USA,6,Male,49,Not immigrant,0,4,4,10,1,7.52,1
USA,2,Female,27,Not immigrant,0,2,6,1,4,8.76,1
IND,10,Male,20,Not immigrant,0,5,3,8,1,7.21,0
USA,8,Male,43,Not immigrant,3,7,6,10,1,6.28,0
USA,7,Female,32,Not immigrant,6,2,3,10,1,7.46,0
IND,8,Female,25,Not immigrant,1,8,6,6,1,7.21,1
USA,4,Male,35,Not immigrant,6,2,3,3,4,5.6,0
USA,8,Male,26,Not immigrant,0,8,4,7,2,4.05,1
IND,7,Female,16,Not immigrant,0,9,3,8,1,5.36,0
USA,8,Male,62,Not immigrant,2,5,4,8,1,7.77,1
IND,10,Male,17,Not immigrant,0,4,3,10,1,7.21,0
USA,5,Female,52,Not immigrant,1,4,3,8,3,7.52,0
USA,6,Male,33,Not immigrant,2,7,5,6,1,6.73,1
IND,10,Female,20,Not immigrant,0,6,6,10,3,7.21,0
IND,4,Male,49,Not immigrant,4,6,3,4,1,6.1,0
USA,7,Female,30,Not immigrant,1,5,7,1,4,8.02,1
USA,9,Male,74,Not immigrant,0,8,8,7,1,8.82,1
USA,1,Male,54,Not immigrant,3,2,4,10,1,6.08,1
IND,9,Female,16,Not immigrant,0,,1,8,3,6.78,0
IND,9,Male,17,Not immigrant,0,7,3,9,3,7.4,0
IND,7,Male,17,Not immigrant,0,4,3,8,4,5.43,0
IND,6,Female,44,Not immigrant,2,3,0,9,3,7.06,1
USA,7,Female,33,Immigrant,2,5,4,5,4,6.41,0
USA,8,Female,23,Not immigrant,0,7,3,10,1,6.72,0
IND,4,Male,16,Not immigrant,0,4,3,10,1,8.32,0
IND,7,Male,16,Not immigrant,0,8,4,7,3,7.85,0
USA,9,Male,34,Not immigrant,1,6,6,10,1,7.28,1
USA,7,Female,57,Not immigrant,3,6,7,10,1,8.53,1
USA,6,Female,35,Not immigrant,4,5,3,5,3,4.98,0
USA,6,Female,52,Not immigrant,4,1,0,7,4,5.98,0
USA,9,Female,27,Immigrant,3,5,4,3,4,7.15,0
USA,8,Female,36,Not immigrant,3,7,6,4,3,8.64,1
USA,7,Female,60,Not immigrant,4,6,3,10,1,8.17,0
USA,7,Female,61,Not immigrant,0,5,3,10,1,7.15,0
USA,5,Male,23,Not immigrant,0,3,,5,4,6.53,1
USA,8,Female,28,Immigrant,2,5,5,5,2,8.27,0
USA,9,Male,60,Not immigrant,2,8,6,10,1,7.52,1
USA,3,Female,37,Immigrant,3,5,3,10,1,6.47,0
USA,10,Female,28,Not immigrant,0,5,6,10,1,7.83,1
USA,7,Male,28,Not immigrant,0,5,4,6,4,7.89,0
IND,9,Male,27,Not immigrant,0,7,6,4,,7.21,1
IND,7,Female,57,Not immigrant,4,7,0,9,1,4.98,1
USA,7,Male,49,Not immigrant,2,8,8,1,4,7.46,1
IND,5,Male,40,Not immigrant,2,4,6,7,3,7.09,1
USA,6,Female,37,Not immigrant,5,6,4,9,2,7.83,1
IND,5,Male,17,Not immigrant,0,5,7,4,1,7.03,1
USA,9,Male,43,Not immigrant,2,7,6,2,4,7.4,1
IND,5,Female,25,Not immigrant,0,7,7,10,1,8.06,1
USA,7,Male,61,Not immigrant,1,3,7,3,3,7.77,1
USA,4,Female,50,Not immigrant,2,3,3,9,2,6.9,0
USA,5,Female,26,Immigrant,1,3,6,10,1,6.97,0
USA,9,Female,18,Not immigrant,0,3,4,2,4,8.7,0
USA,6,Male,18,Immigrant,0,3,3,8,1,6.47,0
USA,8,Male,65,Not immigrant,0,6,6,8,2,7.83,1
IND,10,Female,42,Not immigrant,2,7,1,10,1,7.09,1
USA,3,Male,63,Not immigrant,2,6,8,10,1,6.28,1
IND,10,Male,21,Not immigrant,1,10,2,1,3,7.28,1
USA,6,Female,21,Not immigrant,0,6,6,6,2,7.65,1
USA,5,Female,28,Not immigrant,0,6,8,4,3,8.64,1
USA,5,Male,64,Not immigrant,2,6,2,7,1,6.6,1
IND,7,Female,17,Not immigrant,0,6,4,7,2,6.9,0
USA,4,Male,34,Immigrant,0,7,0,7,3,3.44,1
USA,8,Male,27,Not immigrant,0,5,3,8,2,6.47,0
IND,8,Female,50,Not immigrant,3,9,1,8,1,6.28,1
IND,7,Female,16,Not immigrant,0,5,3,10,3,7.06,0
USA,7,Female,50,Not immigrant,0,5,3,5,4,7.06,0
IND,7,Male,18,Not immigrant,0,5,3,10,3,6.47,0
USA,7,Female,50,Not immigrant,0,5,3,5,4,7.06,0
USA,,Female,31,Immigrant,0,,,,4,8.43,0
IND,7,Male,56,Not immigrant,2,5,1,8,4,6.97,1
IND,8,Male,36,Not immigrant,1,7,3,10,1,6.35,1
USA,8,Female,39,Not immigrant,2,4,3,10,1,7.65,0
USA,6,Male,57,Not immigrant,5,7,4,5,3,6.59,1
USA,4,Female,48,Not immigrant,2,2,4,6,4,7.71,0
USA,,Male,54,Not immigrant,0,4,4,8,1,7.34,1
USA,9,Female,50,Not immigrant,2,7,3,10,1,8.2,1
USA,8,Female,32,Not immigrant,4,8,4,4,4,7.71,1
USA,6,Male,35,Not immigrant,3,6,6,7,2,7.89,1
USA,6,Male,32,Not immigrant,0,5,6,2,4,8.02,1
IND,8,Male,30,Not immigrant,1,2,3,5,1,6.06,1
USA,9,Female,29,Not immigrant,2,6,3,10,1,7.46,0
USA,4,Female,69,Not immigrant,0,3,4,1,,7.83,1
USA,8,Male,39,Not immigrant,0,5,6,1,4,7.15,1
IND,2,Male,38,Not immigrant,0,3,1,3,1,6.66,0
USA,7,Male,45,Not immigrant,2,4,6,1,2,7.28,1
IND,1,Female,58,Not immigrant,7,1,0,10,1,6.72,1
IND,10,Male,59,Not immigrant,3,4,1,10,2,8.02,1
USA,8,Female,23,Not immigrant,1,5,5,7,4,8.56,0
USA,2,Female,24,Immigrant,0,3,4,1,4,8.7,0
IND,4,Female,48,Not immigrant,2,7,2,6,1,4.86,1
IND,8,Male,41,Not immigrant,2,7,2,2,1,6.66,1
IND,5,Male,56,Not immigrant,1,4,1,5,3,8.1,1
USA,8,Female,55,Not immigrant,2,5,3,2,4,7.77,0
IND,7,Female,62,Not immigrant,5,4,0,10,1,6.16,1
IND,4,Male,17,Not immigrant,0,8,3,8,2,4.61,0
USA,6,Male,42,Not immigrant,0,1,6,1,4,6.84,0
IND,10,Male,16,Not immigrant,0,1,3,10,1,6.28,0
IND,10,Male,16,Not immigrant,0,8,3,7,3,7.83,0
IND,10,Male,22,Not immigrant,0,6,6,10,3,6.66,0
USA,9,Female,26,Not immigrant,0,4,6,10,1,7.59,1
IND,8,Male,17,Not immigrant,0,8,3,5,3,3.62,0
USA,,Female,27,Not immigrant,1,5,4,10,1,7.03,1
IND,6,Female,17,Not immigrant,0,7,3,9,1,7.32,0
IND,5,Female,57,Not immigrant,3,6,2,8,1,8.91,1
IND,10,Male,23,Not immigrant,0,9,7,7,3,8.08,1
IND,4,Male,65,Not immigrant,4,10,3,10,2,3.13,0
USA,6,Female,38,Not immigrant,1,5,6,10,1,6.35,1
IND,8,Female,40,Not immigrant,1,7,7,10,1,7.83,1
USA,3,Male,48,Not immigrant,3,3,3,10,3,8.27,0
USA,6,Female,39,Not immigrant,0,7,8,1,4,7.89,1
USA,9,Female,62,Not immigrant,2,7,2,10,1,7.46,0
USA,7,Male,28,Not immigrant,0,5,4,6,4,7.89,0
IND,9,Female,61,Not immigrant,5,10,3,9,1,6.41,1
USA,10,Female,26,Immigrant,0,5,6,10,1,6.35,0
IND,5,Female,27,Not immigrant,0,5,7,5,1,7.98,1
IND,9,Male,19,Not immigrant,0,5,6,4,2,6.04,1
IND,5,Male,37,Not immigrant,4,6,3,8,1,6.78,1
IND,6,Male,54,Not immigrant,3,7,0,7,1,4.24,0
IND,10,Female,19,Not immigrant,0,7,3,10,1,6.9,0
IND,8,Female,27,Not immigrant,2,7,6,8,1,7.13,1
USA,4,Male,42,Not immigrant,3,4,3,10,1,4.38,0
IND,10,Female,28,Not immigrant,2,4,3,10,2,6.66,1
USA,3,Male,22,Not immigrant,0,2,4,9,4,7.28,0
IND,6,Male,36,Not immigrant,3,9,3,7,2,4.18,1
USA,7,Female,66,Not immigrant,3,5,3,10,2,7.91,0
IND,10,Female,17,Not immigrant,0,10,4,9,2,7.09,0
USA,7,Female,62,Not immigrant,1,5,3,10,1,7.83,1
USA,9,Female,52,Not immigrant,2,4,4,10,1,7.21,1
USA,8,Female,27,Not immigrant,0,5,4,1,4,8.69,1
IND,10,Male,16,Not immigrant,0,10,3,5,1,7.71,0
USA,8,Female,69,Not immigrant,2,6,3,10,1,7.39,1
IND,5,Female,21,Not immigrant,0,5,6,6,2,7.89,0
USA,8,Male,63,Not immigrant,2,5,4,4,4,7.52,1
IND,3,Male,16,Not immigrant,0,1,3,10,2,6.78,0
IND,7,Male,19,Not immigrant,0,5,3,7,4,6.72,0
USA,8,Female,28,Immigrant,2,5,5,5,2,8.27,0
USA,6,Female,69,Not immigrant,2,4,3,7,2,7.65,0
USA,10,Female,39,Not immigrant,5,1,3,10,1,7.09,0
IND,4,Male,17,Not immigrant,0,8,3,8,2,4.61,0
IND,,Male,46,Not immigrant,2,8,7,10,3,6.22,1
IND,9,Female,50,Not immigrant,2,8,7,8,1,7.12,1
USA,4,Female,44,Not immigrant,4,4,4,10,1,5.98,1
USA,7,Male,68,Not immigrant,3,7,6,10,2,7.15,1
IND,8,Female,17,Not immigrant,0,5,3,10,2,6.84,0
USA,6,Female,40,Not immigrant,3,4,6,10,1,8.64,1
IND,5,Male,16,Not immigrant,0,3,3,10,4,8.3,0
USA,10,Female,48,Not immigrant,2,1,3,10,1,9.12,0
USA,7,Female,31,Not immigrant,1,6,4,5,2,5.29,0
IND,8,Female,37,Not immigrant,2,8,3,10,1,6.67,1
USA,7,Female,29,Not immigrant,2,2,3,8,1,7.21,1
IND,2,Male,57,Not immigrant,4,1,1,3,1,7.46,0
IND,9,Male,60,Not immigrant,3,7,2,6,2,4.3,1
USA,7,Female,18,Not immigrant,1,4,4,10,2,7.83,0
USA,5,Male,31,Not immigrant,0,5,3,5,3,5.73,0
USA,8,Female,32,Not immigrant,4,6,4,10,1,7.21,1
IND,4,Female,56,Not immigrant,3,2,0,10,3,6.53,1
IND,10,Male,45,Not immigrant,3,5,3,5,1,7.21,1
IND,10,Male,62,Not immigrant,3,5,1,10,1,7.21,1
USA,9,Female,27,Immigrant,1,4,6,8,2,6.28,0
USA,8,Female,42,Not immigrant,4,5,6,10,1,7.83,1
IND,5,Male,53,Not immigrant,2,7,3,7,1,4.37,0
IND,6,Male,16,Not immigrant,0,4,3,9,2,7.94,0
IND,6,Male,17,Not immigrant,0,5,3,8,3,6.73,0
IND,7,Male,21,Not immigrant,0,1,2,10,3,6.9,1
IND,5,Female,16,Not immigrant,0,7,3,7,2,6.54,0
USA,9,Female,51,Not immigrant,3,3,3,10,1,8.2,0
USA,8,Female,25,Not immigrant,1,4,5,1,4,7.89,1
IND,10,Male,22,Not immigrant,0,6,6,10,3,6.66,0
USA,7,Female,25,Not immigrant,0,5,4,1,4,7.96,0
IND,8,Male,51,Not immigrant,2,6,3,10,1,7.35,1
IND,7,Male,64,Not immigrant,4,7,0,8,1,3.75,1
IND,5,Female,18,Not immigrant,0,5,3,10,3,8.75,0
USA,10,Female,81,Not immigrant,3,1,3,10,1,4.61,1
IND,10,Female,18,Not immigrant,0,5,2,10,3,6.8,0
IND,7,Female,21,Not immigrant,0,5,6,5,1,7.03,0
IND,3,Female,25,Not immigrant,0,2,6,3,4,6.66,1
USA,6,Male,44,Immigrant,2,5,4,1,4,7.28,0
USA,7,Female,24,Not immigrant,0,2,3,1,4,8.02,0
USA,8,Male,40,Not immigrant,0,4,4,10,1,6.84,1
USA,10,Female,58,Not immigrant,2,1,5,10,1,9.07,0
IND,6,Female,16,Not immigrant,0,,3,10,3,7.56,0
USA,10,Female,29,Not immigrant,0,1,4,1,4,6.22,0
USA,8,Female,40,Not immigrant,2,5,3,8,4,8.39,1
USA,7,Male,55,Not immigrant,1,2,3,10,1,8.02,0
IND,3,Male,17,Not immigrant,0,1,1,4,1,6.66,1
USA,7,Female,23,Not immigrant,0,5,6,2,4,7.71,1
USA,7,Female,18,Not immigrant,1,4,4,10,2,7.83,0
USA,3,Male,61,Not immigrant,0,1,4,7,4,8.08,1
USA,7,Male,27,Not immigrant,0,7,6,6,3,7.03,1
IND,8,Female,76,Not immigrant,5,5,0,8,1,6.78,1
USA,7,Male,27,Not immigrant,0,3,4,4,2,6.53,0
USA,9,Female,42,Not immigrant,1,8,7,10,1,6.78,1
IND,5,Female,19,Not immigrant,0,5,4,10,1,6.47,0
USA,10,Male,24,Not immigrant,0,9,5,10,2,3.0,1
USA,8,Male,90,Not immigrant,5,6,3,8,4,6.84,1
IND,9,Male,30,Not immigrant,0,10,6,8,3,7.03,1
IND,5,Male,16,Not immigrant,0,8,3,10,1,6.34,0
USA,5,Female,24,Not immigrant,2,2,4,10,3,7.12,1
USA,10,Female,21,Not immigrant,0,2,5,1,4,7.71,0
USA,7,Male,39,Not immigrant,0,4,4,5,4,6.84,1
IND,10,Female,41,Not immigrant,2,10,2,10,1,6.41,0
IND,6,Male,50,Not immigrant,3,3,3,10,1,7.21,1
IND,5,Female,21,Not immigrant,0,5,6,6,2,7.89,0
IND,4,Male,18,Not immigrant,0,3,3,4,3,9.36,0
IND,10,Female,47,Not immigrant,4,6,6,10,3,8.3,1
IND,10,Male,17,Not immigrant,0,1,3,10,4,7.21,0
USA,8,Female,35,Immigrant,0,1,2,10,1,7.34,0
IND,9,Female,37,Not immigrant,1,7,3,2,1,6.59,1
IND,7,Female,17,Not immigrant,0,3,3,8,1,7.35,0
USA,8,Female,52,Not immigrant,0,7,3,10,2,7.83,0
IND,7,Female,19,Not immigrant,0,6,2,7,3,6.41,0
IND,6,Female,16,Not immigrant,0,7,3,9,1,7.94,0
IND,7,Female,16,Not immigrant,0,7,3,8,2,5.97,0
USA,6,Female,28,Immigrant,3,3,3,7,1,7.56,0
IND,8,Female,16,Not immigrant,0,5,3,6,1,6.41,0
USA,10,Female,32,Not immigrant,1,2,3,7,1,5.54,1
IND,9,Female,16,Not immigrant,0,5,2,9,4,6.1,1
USA,8,Female,48,Not immigrant,3,5,8,10,1,7.46,1
USA,9,Female,57,Immigrant,0,7,3,1,4,9.01,0
IND,4,Male,30,Not immigrant,2,9,6,8,1,5.42,1
IND,6,Male,16,Not immigrant,0,2,1,10,1,8.15,0
IND,9,Male,48,Not immigrant,1,6,3,6,1,6.16,1
IND,7,Male,19,Not immigrant,0,5,3,7,4,6.72,0
IND,9,Female,63,Not immigrant,4,9,2,9,2,5.98,0
IND,10,Male,17,Not immigrant,0,6,3,8,3,7.34,1
IND,10,Male,16,Not immigrant,0,4,3,10,3,6.66,0
IND,8,Male,38,Not immigrant,4,6,2,8,4,5.11,1
USA,8,Female,50,Not immigrant,1,7,6,10,1,8.14,1
IND,6,Male,22,Not immigrant,0,8,3,5,3,7.21,1
USA,10,Female,54,Not immigrant,3,5,3,10,1,7.71,1
IND,10,Female,42,Not immigrant,2,7,7,10,1,6.97,1
IND,8,Male,43,Not immigrant,2,7,4,8,1,6.14,1
IND,3,Female,16,Not immigrant,0,3,3,10,1,7.71,0
USA,9,Male,28,Immigrant,0,5,4,1,4,6.84,0
IND,10,Male,17,Not immigrant,0,4,3,10,1,7.21,0
IND,10,Female,61,Not immigrant,5,5,0,10,1,5.82,1
